PLN_AREA_N,"Below $1,000","$1,000 - $1,999","$2,000 - $2,999","$3,000 - $3,999","$4,000 - $4,999","$5,000 - $5,999","$6,000 - $6,999","$7,000 - $7,999","$8,000 & Over",HDB - 1-3 Room Flats,"HDB - 4, 5 and Executive ",Condo ,Landed ,"Legislators, Senior Officials & Managers",Professionals,0-19,20-39,40-59,60-84,85 & Over,Chinese,Indians,Malays,Eurasian & Others,Economically Active- Unemployed,Economically Active- Working,Economically Inactive,Other Diploma,University
ANG MO KIO,15.4372216,14.9326285,13.69424986,13.10278543,9.378407852,7.55595808,5.45995601,4.186459161,16.25233351,56.8378833,32.96305196,4.552427777,5.031144299,12.05971542,10.13537896,24.54023052,33.01316474,30.35253607,4.149274223,7.944794446,83.62988142,7.385652756,8.063819657,0.920646168,3.768334382,59.4308174,36.80088831,4.934179327,11.70769298
BEDOK,13.6530675,12.68958882,13.00629401,11.43880374,9.251266153,6.938115537,5.927866048,4.524741758,22.57159275,34.964521,41.731589,9.167078695,12.18045515,17.06890199,9.142757173,27.38894406,31.06864255,29.82815675,3.706017146,8.008239493,73.05987669,7.155515161,17.38890897,2.395699181,4.36761488,57.72765528,37.90472984,4.130961527,9.814727262
BUKIT BATOK,8.239318125,12.38518192,14.5698287,13.56025708,10.34121314,8.647560202,6.945632086,5.409207514,19.90455962,32.08837889,58.97167131,7.71798196,0.772349874,12.96020857,10.53795136,31.4079736,34.0168821,27.38406386,2.291480777,4.899599662,73.83116319,8.327345372,17.02739196,0.814099476,3.872438449,57.18910583,38.93845572,5.057193824,12.32432947
BUKIT MERAH,21.67785524,14.46768224,12.49462088,10.61838368,8.369911352,7.070315862,5.990188484,4.47327653,14.83776573,63.33161201,32.60177296,3.205955762,0,10.45130641,12.4989555,20.12920088,31.78018336,29.95466518,5.494742373,12.64120821,83.75558265,9.467096887,5.96964655,0.807673913,3.993786072,61.56006625,34.44717647,5.445990133,14.02057627
BUKIT PANJANG,6.755569141,12.40304153,15.19238852,14.32501624,11.14210386,9.071109243,6.927515189,5.704787742,18.47846853,10.61480264,79.46199992,8.948836498,0.936150701,13.35924162,9.257968623,32.25696206,34.79737777,25.62267629,2.374713905,4.94826997,76.91256123,5.939373854,16.36098137,0.787083545,3.850775351,57.08126979,39.06795486,4.049792531,9.42127102
BISHAN,7.870481686,7.089043841,9.036627394,10.24685421,9.084715877,9.012583153,7.750260479,6.632203254,33.28123748,11.42902941,70.2692955,5.065320189,10.55942935,19.98359695,8.015095696,28.83721964,30.99117523,30.12870385,3.255384889,6.787516394,84.80561051,8.022317558,5.692755685,1.479316247,3.555689377,60.92573837,35.51857225,4.436752675,9.427912134
BUKIT TIMAH,10.29026886,2.450630502,3.866285986,4.948846062,3.640256959,4.544373067,4.175588865,4.128003807,61.9557459,2.700452058,11.85462765,39.63240542,42.35070188,39.50931232,14.15348565,26.94580055,28.99343885,31.87132684,4.043969029,8.145464722,90.49255263,4.421779284,1.124102118,3.961565969,3.500754473,61.32787239,35.16993605,6.916604605,17.95464989
CHOA CHU KANG,4.421786677,9.324317185,14.18722595,14.69438428,13.23894553,11.04125944,8.357546622,6.928522373,17.80601194,4.157641714,95.53330868,0.28527656,0,11.26113054,8.558558559,34.33936612,37.63741886,22.2216537,1.867580843,3.933980469,74.01540846,6.696245834,18.65899655,0.629349161,4.073033708,62.35955056,33.70786517,5.631659056,7.914764079
CLEMENTI,13.19476796,11.32055187,12.89016305,11.96201398,9.019888909,8.310338649,6.178104282,5.364629995,21.75595771,50.62533596,37.64916682,7.654542197,3.264647913,13.18915488,8.719624884,23.3594935,33.59053837,31.25810636,4.264767306,7.527094462,76.4613423,7.805183671,14.33203632,1.40143771,3.502069405,63.16556202,33.33333333,5.15215077,9.437880113
DOWNTOWN,19.70546985,17.60168303,9.887798036,11.71107994,12.27208976,7.643758766,4.76858345,3.01542777,13.46423562,61.99158485,26.36746143,9.326788219,0,11.3277623,14.69214726,18.27631009,31.39887397,29.25508878,6.236466003,14.83326115,87.15894327,9.398007796,1.818969251,1.624079688,3.609256429,59.14246641,37.24827716,4.823555523,16.13671673
GEYLANG,18.73637077,15.90439915,12.89215829,11.77565202,8.693629518,7.018870119,5.99831361,4.207251476,14.77626261,47.40790277,37.62102753,6.960718751,5.940162242,13.93317276,9.377901578,24.82675682,31.388132,28.82144179,4.560668752,10.40300064,77.94933898,7.548693107,13.39943486,1.102533051,3.85115795,56.04996097,40.12490242,3.897924846,10.88053842
HOUGANG,8.811344515,13.40682204,14.00178855,13.37032103,10.86087639,8.696366324,6.982643768,4.889310678,18.98052671,19.19405764,68.71498184,1.735623164,8.221853156,14.52160313,8.448981152,30.2269286,32.43153185,27.91795093,3.024407932,6.399180685,83.58430562,5.992463481,9.439759302,0.983471601,4.407910158,55.73976602,39.85125834,3.795209345,8.45027986
JURONG EAST,8.421729347,11.36692382,14.46078431,13.88219222,11.16602379,8.93603343,6.995339119,5.757794921,19.01719704,30.30376085,63.94246223,5.343940855,0,11.67180637,8.292283304,28.37724074,33.83470462,29.04735714,3.005982781,5.734714723,75.23936737,7.219746546,16.74954259,0.791343488,3.689649502,59.44358011,36.86677039,4.672032954,8.844566809
JURONG WEST,7.166053647,11.97272809,15.3978649,15.46066206,12.5109895,10.07266529,7.711491881,5.879608863,13.82793577,21.65246255,77.44325828,0.728447116,0,8.932573679,10.11587702,31.10573871,36.32722833,25.87741148,2.314041514,4.375579976,72.0043956,7.792918193,19.48717949,0.715506716,3.705200379,59.64550471,36.64929491,4.696957969,11.14327734
KALLANG,22.09009754,15.27246407,12.90456002,10.83307483,9.247578672,6.386792128,5.001206356,4.153310585,14.1109158,58.53238204,30.0589391,8.161858477,2.192120773,13.42869242,7.322846191,21.67812453,31.26477413,29.21862462,5.224349938,12.61412678,78.45633363,12.51762052,8.006766281,1.019279565,3.664597474,61.54847776,34.78692477,4.631026239,8.046132392
MARINE PARADE,19.29983401,9.423570243,9.008601177,8.261656858,6.601780595,5.387052965,6.103817715,4.285498717,31.62818772,32.49585031,26.50520598,22.21970726,16.93828278,28.40444491,8.511739519,23.03285776,30.13402508,30.24427151,5.192390834,11.39645482,76.29269347,11.5715521,9.189364462,2.94638997,4.333955496,56.26729148,39.40007678,4.046118898,9.663823525
NEWTON,17.20116618,0.932944606,3.731778426,6.297376093,1.632653061,5.481049563,4.839650146,4.43148688,55.45189504,0.29154519,0,89.21282799,10.49562682,47.55592378,14.62941608,21.19725221,30.09486425,33.33333333,4.694144586,10.68040563,79.9313052,10.66404972,1.504743212,7.899901865,3.380454825,55.83750402,40.78204115,5.931636456,21.82154121
NOVENA,15.1673044,9.093869576,8.556541562,9.313685582,7.481885533,7.099242856,6.016445494,4.941789465,32.33737686,29.60188879,25.74289669,27.68053407,15.52552308,25.44517577,22.61806131,23.24283947,30.64263872,30.10341044,4.677980345,11.33313103,85.45717687,8.88209342,3.216695068,2.444034641,3.180961357,56.8803016,39.93873704,8.189216684,45.09155646
OUTRAM,33.8056177,17.74794929,10.93711161,9.445687298,6.860551827,6.326124783,3.38056177,2.908277405,8.58811832,80.41262739,11.17325379,6.748695004,0,9.174830445,15.83244043,16.17640434,28.56885445,29.68151719,6.802108203,18.77111582,89.0085139,7.712059102,2.788413893,0.491013109,3.160815539,59.11147304,37.72469538,5.817944109,21.81729041
