PLN_AREA_N,"Below $1,000","$1,000 - $1,999","$2,000 - $2,999","$3,000 - $3,999","$4,000 - $4,999","$5,000 - $5,999","$6,000 - $6,999","$7,000 - $7,999","$8,000 & Over","Legislators, Senior Officials & Managers",Professionals,0-19,20-39,40-59,60-84,85 & Over,Chinese,Indians,Malays,Eurasian & Others,HDB - 1-3 Room Flats,"HDB - 4, 5 and Executive ",Condo ,Landed ,Economically Active- Unemployed,Economically Active- Working,Economically Inactive,Professional Qualification and Other Diploma,University
ANG MO KIO,3.354632588,8.626198083,7.028753994,6.230031949,6.389776358,6.07028754,4.632587859,5.271565495,38.33865815,14.92094862,17.29249012,18.3441094,26.77805115,31.19528523,22.36653888,1.316015334,81.98775534,8.09635521,7.472678377,2.443211077,49.68051118,34.02555911,7.987220447,7.827476038,2.926208651,64.37659033,32.69720102,6.955922865,24.38016529
BEDOK,2.386117137,7.809110629,4.446854664,5.748373102,5.748373102,6.724511931,5.639913232,3.470715835,47.39696312,19.76047904,18.69594145,19.59275237,27.41328732,31.33390854,20.27264884,1.383951682,72.08973253,8.666091458,15.17860224,4.06557377,27.98264642,37.52711497,20.93275488,13.34056399,2.543450615,63.7134379,33.78550233,6.541176471,29.6
BISHAN,1.798561151,4.676258993,3.956834532,3.237410072,4.676258993,3.597122302,3.956834532,3.597122302,60.79136691,23.63636364,24.24242424,19.83461963,27.60749724,32.09481808,19.25027563,1.201764057,85.13781698,7.717750827,4.14553473,2.998897464,8.992805755,61.51079137,17.62589928,11.51079137,2.49017038,64.87549148,32.63433814,7.342143906,37.29809104
BUKIT BATOK,1.363636364,5.454545455,5.454545455,5.909090909,6.136363636,4.772727273,7.045454545,5.227272727,47.95454545,17.1957672,18.91534392,21.2608602,28.88633589,33.20887485,15.86845695,0.782652402,73.29647447,9.858548144,14.05184175,2.800315933,23.86363636,52.27272727,20.22727273,3.409090909,3.413821815,62.94754371,33.63863447,6.844106464,28.23193916
BUKIT MERAH,3.804347826,11.05072464,6.52173913,4.891304348,4.891304348,3.804347826,3.985507246,4.166666667,37.13768116,14.47688564,18.36982968,18.08906571,26.27695072,30.22972279,23.45995893,1.931468172,78.67684805,9.702258727,8.598562628,3.022330595,50.54347826,42.39130435,6.52173913,0.18115942,2.490566038,62.03773585,35.47169811,6.341463415,25.28455285
BUKIT PANJANG,1.213592233,4.126213592,5.339805825,5.582524272,5.825242718,5.825242718,7.038834951,7.038834951,52.66990291,14.98127341,16.97877653,23.62080127,30.26684888,31.66223117,13.73804215,0.726461915,74.2861253,7.408472991,15.98935482,2.308854204,10.67961165,72.57281553,13.59223301,3.155339806,3.010033445,66.97324415,30.01672241,7.865168539,24.81273408
BUKIT TIMAH,1.255230126,2.928870293,1.673640167,1.673640167,0.836820084,1.255230126,1.255230126,2.928870293,73.22175732,38.58695652,35.59782609,23.40539815,24.17080704,32.3754532,18.73237545,1.342822613,86.14207063,4.901302538,1.020545186,7.936081644,2.092050209,7.531380753,49.79079498,39.33054393,2.030456853,62.26734349,35.70219966,6.844106464,61.02661597
CHOA CHU KANG,1.21703854,4.056795132,6.288032454,5.882352941,5.679513185,6.085192698,5.679513185,5.273833671,54.76673428,12.55144033,16.97530864,24.49951242,29.06556531,33.7291344,12.1149544,0.596569724,70.8139735,9.44759938,16.99650089,2.747662479,6.490872211,81.54158215,10.14198783,1.825557809,2.545210985,65.10381782,32.28399196,7.644787645,24.32432432
CLEMENTI,2.657807309,6.312292359,5.315614618,5.315614618,5.647840532,5.647840532,5.647840532,3.986710963,47.50830565,19.60784314,24.18300654,19.09854851,26.85801593,30.62315835,22.11066245,1.309614755,77.15813598,8.294226782,10.85888901,3.699661683,38.87043189,38.20598007,16.94352159,5.315614618,1.925722146,63.13617607,34.93810179,6.962962963,30.66666667
GEYLANG,3.2,7.2,7.466666667,7.2,6.133333333,5.066666667,5.333333333,4,41.33333333,14.49511401,18.0781759,18.45075239,27.84712722,31.65184679,20.47708618,1.581737346,75.29069767,8.464432285,13.06429549,3.189124487,40,38.4,16.8,3.466666667,2.489177489,66.45021645,31.06060606,7.193396226,25.11792453
HOUGANG,2.177293935,4.821150855,6.687402799,6.842923795,6.376360809,5.598755832,6.531881804,5.754276827,46.96734059,14.90066225,15.81125828,19.99910036,28.48724754,32.65710045,17.80396743,1.052584229,81.73271558,8.114794656,7.939363951,2.217624039,17.26283048,61.11975117,11.97511664,9.486780715,2.383531961,65.43878657,32.23185265,6.638246041,24.36053593
JURONG EAST,0.784313725,3.921568627,7.843137255,6.274509804,6.666666667,5.882352941,5.882352941,6.274509804,45.09803922,12.36442516,18.00433839,19.63991527,29.13626736,31.19557543,19.14568134,0.894328077,70.75782537,10.76723935,16.16851024,2.318192516,28.23529412,61.17647059,9.803921569,0,2.69121813,65.29745042,32.01133144,5.590062112,24.22360248
